prfInformationCarrier,prfYear,prfMonth,prfPrdOilGrossMillSm3,prfPrdGasGrossBillSm3,prfPrdCondensateGrossMillSm3,prfPrdOeGrossMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
ALBUSKJELL,1985,12,0.03972,0.09339,0.0,0.13310999999999998,0.0,43437
ALBUSKJELL,1986,1,0.03948,0.08984,0.0,0.12932000000000002,0.0,43437
ALBUSKJELL,1986,2,0.03547,0.07887999999999999,0.0,0.11435,0.0,43437
ALBUSKJELL,1986,3,0.036860000000000004,0.08822999999999999,0.0,0.12509,0.0,43437
ALBUSKJELL,1986,4,0.015090000000000001,0.0292,0.0,0.044289999999999996,0.0,43437
ALBUSKJELL,1986,5,0.03937,0.09286,0.0,0.13222,0.0,43437
ALBUSKJELL,1986,6,0.03532,0.0884,0.0,0.12372000000000001,0.0,43437
ALBUSKJELL,1986,7,0.043539999999999995,0.11467999999999999,0.0,0.15822,0.0,43437
ALBUSKJELL,1986,8,0.0401,0.10434,0.0,0.14443,0.0,43437
ALBUSKJELL,1986,9,0.03743,0.09572,0.0,0.13314,0.0,43437
ALBUSKJELL,1986,10,0.033819999999999996,0.09712,0.0,0.13094,0.0,43437
ALBUSKJELL,1986,11,0.03481,0.08839,0.0,0.1232,0.0,43437
ALBUSKJELL,1986,12,0.03379,0.08813,0.0,0.12192,0.0,43437
ALBUSKJELL,1987,1,0.03405,0.08996,0.0,0.124,0.0,43437
ALBUSKJELL,1987,2,0.030119999999999997,0.0775,0.0,0.10762999999999999,0.0,43437
ALBUSKJELL,1987,3,0.0316,0.08392999999999999,0.0,0.11553,0.0,43437
ALBUSKJELL,1987,4,0.0295,0.07658,0.0,0.10608,0.0,43437
ALBUSKJELL,1987,5,0.03044,0.08192999999999999,0.0,0.11237,0.0,43437
ALBUSKJELL,1987,6,0.02965,0.07831,0.0,0.10797000000000001,0.0,43437
ALBUSKJELL,1987,7,0.028560000000000002,0.07642,0.0,0.10497999999999999,0.0,43437
ALBUSKJELL,1987,8,0.007940000000000001,0.02178,0.0,0.029710000000000004,0.0,43437
ALBUSKJELL,1987,9,0.0271,0.06666,0.0,0.09376,0.0,43437
ALBUSKJELL,1987,10,0.02907,0.07415,0.0,0.10323,0.0,43437
ALBUSKJELL,1987,11,0.0263,0.06612,0.0,0.09241,0.0,43437
ALBUSKJELL,1987,12,0.02737,0.07463,0.0,0.10201,0.0,43437
ALBUSKJELL,1988,1,0.026,0.06989,0.0,0.09589,0.0,43437
ALBUSKJELL,1988,2,0.02402,0.06488,0.0,0.0889,0.0,43437
ALBUSKJELL,1988,3,0.026489999999999996,0.06396,0.0,0.09045,0.0,43437
ALBUSKJELL,1988,4,0.02468,0.0626,0.0,0.08727,0.0,43437
ALBUSKJELL,1988,5,0.02461,0.06408,0.0,0.08868999999999999,0.0,43437
ALBUSKJELL,1988,6,0.023180000000000003,0.061079999999999995,0.0,0.08425,0.0,43437
ALBUSKJELL,1988,7,0.023459999999999998,0.05681,0.0,0.08026,0.0,43437
ALBUSKJELL,1988,8,0.024669999999999997,0.06037000000000001,0.0,0.08504,0.0,43437
ALBUSKJELL,1988,9,0.023219999999999998,0.05521,0.0,0.07842,0.0,43437
ALBUSKJELL,1988,10,0.020419999999999997,0.04721,0.0,0.06763,0.0,43437
ALBUSKJELL,1988,11,0.01649,0.03948,0.0,0.055970000000000006,0.0,43437
ALBUSKJELL,1988,12,0.01621,0.0404,0.0,0.05661,0.0,43437
ALBUSKJELL,1989,1,0.015059999999999999,0.040060000000000005,0.0,0.05512,0.0,43437
ALBUSKJELL,1989,2,0.0133,0.033530000000000004,0.0,0.046830000000000004,0.0,43437
ALBUSKJELL,1989,3,0.013619999999999998,0.03598,0.0,0.0496,0.0,43437
ALBUSKJELL,1989,4,0.01753,0.039169999999999996,0.0,0.0567,0.0,43437
ALBUSKJELL,1989,5,0.02096,0.04908,0.0,0.07005,0.0,43437
ALBUSKJELL,1989,6,0.01996,0.045939999999999995,0.0,0.0659,0.0,43437
ALBUSKJELL,1989,7,0.01956,0.04675,0.0,0.06631000000000001,0.0,43437
ALBUSKJELL,1989,8,0.0195,0.04657,0.0,0.06607,0.0,43437
ALBUSKJELL,1989,9,0.018269999999999998,0.044989999999999995,0.0,0.06326,0.0,43437
ALBUSKJELL,1989,10,0.01847,0.04579,0.0,0.06426,0.0,43437
ALBUSKJELL,1989,11,0.017490000000000002,0.042289999999999994,0.0,0.05977999999999999,0.0,43437
ALBUSKJELL,1989,12,0.01782,0.04484,0.0,0.06266000000000001,0.0,43437
ALBUSKJELL,1990,1,0.01785,0.04365,0.0,0.0615,0.0,43437
ALBUSKJELL,1990,2,0.01524,0.039060000000000004,0.0,0.0543,0.0,43437
ALBUSKJELL,1990,3,0.0155,0.036410000000000005,0.0,0.051910000000000005,0.0,43437
ALBUSKJELL,1990,4,0.01589,0.03901,0.0,0.0549,0.0,43437
ALBUSKJELL,1990,5,0.01227,0.03044,0.0,0.04272,0.0,43437
ALBUSKJELL,1990,6,0.0104,0.02431,0.0,0.034710000000000005,0.0,43437
ALBUSKJELL,1990,7,0.01124,0.026660000000000003,0.0,0.03791,0.0,43437
ALBUSKJELL,1990,8,0.01239,0.027989999999999998,0.0,0.040369999999999996,0.0,43437
ALBUSKJELL,1990,9,0.01113,0.025730000000000003,0.0,0.036860000000000004,0.0,43437
ALBUSKJELL,1990,10,0.01182,0.03035,0.0,0.04217,0.0,43437
ALBUSKJELL,1990,11,0.01182,0.030119999999999997,0.0,0.04193,0.0,43437
ALBUSKJELL,1990,12,0.01231,0.030869999999999998,0.0,0.04318,0.0,43437
ALBUSKJELL,1991,1,0.01206,0.030060000000000003,0.0,0.04213,0.0,43437
ALBUSKJELL,1991,2,0.01057,0.02655,0.0,0.037110000000000004,0.0,43437
ALBUSKJELL,1991,3,0.011609999999999999,0.02949,0.0,0.0411,0.0,43437
